0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,ITEM_ID
0.12100563,-0.15578441,0.02323593,-0.0412441,0.20034485,-0.019083938,0.1014766,-0.019944929,0.16993225,0.12671156,0.3294886,-0.12220285,0.13800362,0.114842944,0.039393164,0.0023478237,0.21440586,-0.10679973,0.037569486,0.024607971,-0.14709899,0.0876107,0.07800303,0.041107737,-0.16755876,0.1312797,-0.08245948,0.027290089,0.013681544,-0.26053524,0.05556056,-0.261208,-0.09240827,0.027853416,-0.15981172,0.0999889,-0.22232874,-0.053100225,0.03413549,0.046018206,0.009918654,-0.1541883,0.2347958,-0.15314355,0.017065415,-0.04605601,0.024948545,-0.01991786,-0.05913566,-0.026320126,0.089018345,-0.06391489,-0.11328872,0.114888206,-0.03768442,0.10364109,0.04386223,0.23202936,0.06812389,-0.17561355,-0.15361151,-0.11383011,0.09721725,0.13710883,5743
0.053635746,-0.14085673,0.09991528,-0.11594499,0.05281218,-0.041806012,0.14012274,-0.22653462,-0.007968659,0.0041676858,0.2605707,-0.37438253,0.23066972,-0.054878548,-0.082335554,-0.07051147,0.18272288,-0.1273688,0.05511742,0.08807866,-0.06517064,0.13020372,0.036138427,0.012333499,-0.030510848,0.0498055,-0.0002179791,-0.019990051,-0.07863511,-0.12086715,-0.029893914,-0.26427144,-0.04449989,-0.0017553091,-0.14619702,-0.037881184,-0.17873451,-0.060968563,0.12532003,-0.056132138,0.14428636,0.0033630691,0.043100946,-0.20357673,0.13092725,-0.14719151,-0.019169739,-0.13455017,-0.2720641,0.016694613,-0.12828256,-0.06134089,-0.1460941,-0.055401284,0.08879331,0.037862472,0.11049066,0.0938716,0.017158275,0.107772216,-0.05505753,0.008590294,-0.03883646,0.2394659,1379
0.14792658,-0.19110258,0.133753,0.008798498,0.11132396,-0.0037780495,0.25021803,-0.037801094,0.0514841,0.08266915,0.21883863,-0.06874317,0.16303681,0.08680943,-0.040550873,0.024244798,0.09705386,-0.1577057,-0.076156974,0.048065677,-0.18305594,0.020420043,0.055909127,0.043795567,-0.12165715,0.06763527,-0.05482781,-0.04014907,0.23385312,-0.2823653,0.010194916,-0.36699918,-0.06524963,-0.02381791,-0.13800131,0.0780587,-0.16445044,-0.054457013,-0.03876156,0.05281829,0.07708119,-0.033526354,0.12243829,-0.2882916,-0.05281421,-0.06294134,0.096473224,-0.0571375,0.007814345,0.044978417,0.08003748,-0.14628331,-0.14338042,0.02288244,0.057868432,0.09644506,-0.041170105,-0.010667685,0.19018123,-0.18533131,-0.004862616,-0.054042548,0.055394135,0.2084387,5661
0.10840718,-0.17263596,0.19338526,0.0033905923,0.07457583,-0.114179276,0.16396312,-0.18539748,0.036388535,0.0352508,0.201197,-0.23663272,0.18580712,0.10358444,-0.049973574,-0.026922598,0.11566102,-0.16594802,-0.032725558,0.15407315,-0.1865108,0.10122402,0.05678179,-0.05500698,-0.11769516,-0.0034797057,-0.076482624,-0.13617894,0.106913075,-0.18548831,-0.012317374,-0.345335,-0.022532687,-0.05058201,-0.14000103,-0.033420727,-0.078457385,-0.15228342,-0.0045271134,0.024387712,0.029807579,0.0052897595,-0.103949815,-0.27192575,-0.0022141896,-0.12888257,0.11796338,-0.10390961,-0.02663522,0.010802747,-0.08922219,-0.2514883,-0.12281473,-0.0050811204,0.044346306,0.026467819,-0.030713495,-0.05102363,0.058189407,-0.05180904,0.008585954,-0.15977688,-0.049847044,0.25475383,8677
0.10000754,-0.07277602,0.05136644,-0.05696086,0.09386791,-0.039580002,0.22074458,-0.15707496,0.015216429,0.11549322,0.27316514,0.00070623046,0.17882574,0.15304016,-0.016580414,-0.039723165,0.035799075,-0.080624096,-0.022325741,-0.02471565,-0.21607758,0.0032452159,0.10451447,0.042674422,-0.14789206,0.13910514,-0.009478666,-0.073131666,0.10470064,-0.28484273,0.056673177,-0.26000172,-0.117284104,0.037728895,-0.08960653,0.02968849,-0.29334384,0.014496393,0.19157158,0.015536858,-0.034659676,-0.021374596,0.18788557,-0.35799915,-0.03725332,-0.050922386,-0.010287716,-0.108290724,-0.11798615,-0.050775792,0.09316193,-0.094257005,-0.13356686,-0.0012724508,0.04206911,0.06601171,0.03370711,0.11819794,0.15466209,-0.11834748,-0.08173956,-0.026183717,0.023867484,0.15640481,4498
0.22376402,-0.16266298,0.15256853,-0.024491709,0.07693144,-0.01329284,0.18950105,-0.06988678,0.036035825,0.083774686,0.15545656,-0.052268896,0.15453953,0.096931584,-0.0625648,0.02520933,0.14933892,-0.18981497,0.018000914,0.03883117,-0.16389005,-0.031787887,-0.0031341559,0.0003371349,-0.079693094,-0.07489812,-0.047238797,-0.0930568,0.21403533,-0.2381941,-0.019426042,-0.2548043,-0.08301349,0.004329776,-0.13064995,0.05425881,-0.08073399,-0.13669169,-0.14338987,0.09236494,0.0018156382,-0.066195846,-0.038932398,-0.3004156,-0.10115481,-0.084861614,0.13257891,-0.090378195,0.088572815,0.03505956,0.110082425,-0.21396567,-0.13514873,-0.038554847,-0.005753784,0.12724108,-0.11782879,-0.14201577,0.25752655,-0.06718701,0.10334556,-0.13218203,0.047714964,0.205188,7379
0.19160213,-0.12758549,0.16650976,-0.08291884,0.120780826,-0.11627703,0.15088455,-0.17150928,0.034103386,0.0687276,0.22393017,-0.07653531,0.1727408,0.12528987,-0.026271129,-0.010866443,0.1427478,-0.10432296,0.10442751,-0.0149968,-0.19556193,0.021100776,-0.0094662625,-0.027763134,-0.07344279,-0.04919611,-0.051250607,-0.18371333,0.05805894,-0.25812617,0.038740695,-0.20198862,-0.16344406,0.06340849,-0.106730826,-0.041654132,-0.1401823,-0.19952483,0.04816745,0.0022745077,-0.036603123,-0.033598192,-0.034506246,-0.36323076,-0.048923016,-0.18192707,0.08027965,-0.14583479,-0.018975647,-0.039587453,0.065224506,-0.25643831,-0.12658833,-0.018474571,0.019884676,0.042705007,-0.061435275,-0.026854666,0.1362041,-0.027940007,0.07415117,-0.106408305,0.02597728,0.22171089,5704
-0.0042924765,-0.1528153,0.033334933,-0.19534251,0.25348973,-0.013794413,0.06506598,-0.008300982,0.14730692,0.13516338,0.3225116,-0.3032725,0.12180708,0.034162305,-0.008746385,-0.011462576,0.24833935,-0.055421222,0.09692091,0.058410496,-0.07118478,0.063346885,0.09975883,0.07310888,-0.12321432,0.107150264,-0.16901569,0.23188342,-0.062326357,-0.16647746,0.08639924,-0.1767638,0.0023950406,-0.01738353,-0.087046355,0.13758872,-0.17699619,-0.018988227,0.1068531,0.09228943,0.003403077,-0.20978227,0.17622638,-0.0036122866,0.120607406,-0.049120154,0.059528846,0.056796648,-0.118154384,-0.0481978,-0.13164295,-0.019545497,-0.10162618,0.07978062,-0.001324062,0.15818243,-0.042338796,0.15975146,-0.034622937,-0.12457553,-0.012060183,-0.15504049,0.085806586,0.081618115,5478
0.17995805,-0.13444948,0.13791195,-0.022914592,0.19464758,-0.11199804,0.19263247,-0.05289154,-0.03293817,0.04452143,0.14909421,-0.10616702,0.20886837,0.1303378,-0.03379595,-0.05536192,0.10069169,-0.15312329,-0.075513884,0.07873028,-0.13946036,0.055667106,0.038529996,-0.03609843,-0.18112713,-0.06723876,-0.08816182,-0.095448494,0.15937296,-0.29145968,-0.018730981,-0.29031414,-0.094277024,0.031089032,-0.10791398,0.015207579,-0.1675846,-0.059935194,-0.028023064,0.09853531,0.06060017,0.0062542064,0.027446855,-0.31419218,-0.04988241,-0.08906912,0.11462053,-0.059219804,-0.046347756,-0.009431466,0.11336853,-0.21789514,-0.13577744,-0.062295582,0.08293356,0.10371049,0.05548745,-0.041389912,0.20659222,-0.11237548,0.041100584,-0.1329052,-0.043173827,0.2006693,6313
0.14400607,-0.15740117,0.1378573,-0.019125046,0.17761055,-0.014681735,0.23485853,-0.040827695,0.008744724,0.09166884,0.20615782,-0.03992013,0.16016601,0.10534698,-0.047867134,-0.032258026,0.097053416,-0.14592859,-0.08139014,0.03352024,-0.16478114,0.004934733,0.03050665,0.01698824,-0.13380332,0.0019931742,-0.038627155,-0.05466021,0.2572151,-0.2874733,0.0067068324,-0.30842867,-0.07350275,0.007740885,-0.08893038,0.026708746,-0.18648563,-0.025980681,-0.0011491635,0.09393431,0.07900189,0.005562721,0.09155339,-0.33944646,-0.059422888,-0.056795154,0.096897885,-0.067334406,0.018937413,0.013523628,0.11200611,-0.15194212,-0.13182312,-0.017667778,0.050454736,0.10068209,-0.046472527,-0.06121285,0.24152905,-0.1985995,0.05924818,-0.07743,0.020617228,0.1776875,5064
