0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,CUSTOMER_ID
0.034852058,-0.36094537,-0.03082227,0.08529514,0.09791077,-0.3303022,-0.3722793,0.25224897,0.0032408424,0.39719588,-0.36617827,-0.2613744,-0.36515516,-0.42924532,-0.10563939,0.27484488,88813
-0.063278496,-0.61182255,-0.05306384,-0.044822417,-0.38338023,-0.3301624,-0.44568408,0.6245367,0.18632346,0.3122421,-0.8056864,-0.110061064,-0.4861076,0.06343648,-0.31538087,0.08555691,95888
0.074833885,-0.5414264,-0.19484267,0.15718004,-0.1223156,0.015094154,-0.11452439,0.3388876,0.124860026,-0.09236848,-0.54258376,-0.3354851,-0.29909587,-0.32511166,0.008282438,0.11837773,84823
-0.113392144,-0.4311236,0.035339326,-0.030715562,-0.085338816,-0.0709243,-0.22755964,0.6427749,0.2716501,0.30027735,-0.4185177,-0.41323885,-0.40679818,0.10588309,-0.22575708,0.02688396,79314
0.0022949576,-0.12148188,-0.13942757,-0.101428345,-0.25512582,0.07583221,-0.19117323,0.06535128,0.1526213,0.4535444,-0.28513426,-0.23846976,-0.46566647,-0.09643714,-0.10064101,0.25181508,98620
0.0807751,-0.28756443,-0.15265287,0.12157137,-0.031022727,-0.15946615,-0.36528206,0.24076632,0.019013593,0.1127408,-0.20944816,-0.12677492,-0.32258123,-0.40319794,-0.13539597,0.14680494,95621
0.24678712,-0.3108228,-0.19282737,-0.00033305585,-0.15142485,-0.018150482,-0.28582236,0.019096866,-0.021537011,0.21830615,-0.2455247,-0.35688615,-0.18329033,-0.2708113,-0.07063186,0.34137133,48739
0.042617947,-0.2151247,-0.43832532,0.023669109,-0.23780611,0.057743356,-0.3587091,0.0110817775,-0.0036810376,0.24886474,-0.21518178,-0.37335527,-0.5216068,-0.23493887,-0.3118124,0.193516,66290
0.06952757,-0.5915443,-0.39765933,0.20236865,-0.36529428,0.024259403,-0.6676848,0.6151866,0.07694866,0.15004972,-0.63853073,-0.41921604,-0.21429943,-0.24118264,-0.3516832,-0.28652394,34349
0.13207152,-0.58720803,-0.2812478,0.17555909,0.31704822,-0.21421921,-0.45786744,0.033143014,-0.059225596,0.11921343,-0.49538207,-0.22300507,-0.054098487,-0.004065305,-0.17648491,0.03304018,76542
-0.006370008,-0.1639961,-0.046018574,0.33282533,0.076725714,-0.20295674,-0.4769075,0.27422136,0.15422639,0.368174,-0.33250985,0.0054189265,-0.19513285,0.15260097,-0.40861356,0.2289742,59247
0.28106254,-0.2753718,-0.22025755,0.0064532496,-0.025415197,-0.22741994,-0.3404233,0.08012736,0.106312305,0.20910624,-0.41302654,-0.14045931,-0.12174894,-0.11896743,-0.25792673,0.12577844,98987
0.48359168,-0.5109833,-0.25333524,0.23700069,-0.2720054,-0.2854435,-0.34665892,0.12885872,0.24742025,0.1078549,-0.51114154,-0.28276366,-0.0047503524,-0.5159285,-0.51947516,-0.008136749,43426
0.011580616,-0.28781408,0.22736691,0.15121661,0.0015574843,-0.2101048,-0.43793893,0.6831923,0.40958375,0.110936604,-0.13072151,-0.43434367,0.32891065,0.1491701,-0.5557651,-0.15816292,76527
0.18840043,-0.2302714,-0.12617469,-0.073881336,0.06570996,-0.50523645,-0.35492185,0.3039585,-0.24453679,0.21826097,-0.20613778,-0.06284729,-0.13799496,-0.7832779,-0.1486369,0.7722602,53914
0.0053003132,-0.39480478,0.20271882,-0.48469996,-0.29394823,-0.5191164,-0.24650252,0.7019348,-0.29809016,0.22699556,-0.22341096,-0.1408849,-0.40653294,-0.3107025,0.033492498,0.5730664,33090
-0.0049850643,-0.47597477,-0.17807281,0.05236052,-0.13303927,-0.097033344,-0.48630032,0.2627391,-0.07069205,0.22184457,-0.3288523,-0.23648041,-0.2759254,-0.120332,-0.045558088,-0.03225094,98661
0.20194742,-0.38454208,-0.109632015,0.45922917,-0.19646426,-0.26781014,-0.37463814,0.3213005,0.108256735,0.10004383,-0.44701558,-0.091897875,-0.03816724,0.18512765,-0.41347945,-0.23276061,64906
0.17189538,-0.4382733,-0.14711817,-0.16916195,-0.27003887,-0.2486575,-0.29862642,0.3207711,-0.25176224,0.023471132,-0.3535837,-0.16107836,-0.40952682,-0.39351612,-0.0477843,0.20893481,28373
0.44126314,0.013591463,0.47608423,-0.120944835,-0.046839967,-0.7166145,-0.31882372,0.14356789,0.2651669,0.29199246,-0.50558996,-0.3780354,-0.60186636,-0.654181,-0.43635982,0.6626618,48035
0.21909085,-0.7044103,-0.38460058,0.027539797,-0.2310808,-0.17587617,-0.5182033,0.2852871,0.19162597,0.21371277,-0.6110642,-0.46342877,0.007123053,-0.24919198,-0.4639991,-0.1470426,12107
0.27777824,-0.11694139,0.10882404,-0.06715239,0.0257245,-0.48017594,-0.4414717,0.257464,0.15429257,0.295925,-0.3817799,-0.2896397,-0.22267492,0.04827279,-0.37956545,0.16423804,32653
-0.036176354,-0.9261375,-0.300718,0.18002513,-0.6030073,-0.09586416,-0.7637089,0.37641835,-0.15608793,0.19501856,-0.70314276,-0.19398093,-0.3200425,-0.033623695,-0.10893548,-0.20319661,99259
0.19299331,-0.47676864,0.24975967,0.44263828,-0.030990902,-0.7767662,-0.21361215,0.72058,0.2528001,0.39613,-0.774349,-0.24030347,-0.37739903,-0.695631,-0.18480746,0.44443777,20867
0.5125871,-0.54795396,-0.27711973,-0.086042345,-0.16768906,-0.28828448,-0.3968381,0.027146429,-0.13147226,0.1633904,-0.4832374,-0.44246167,-0.18579528,-0.26246783,-0.35201073,0.21337506,61136
-0.11353609,-0.77418476,-0.23630789,0.063993454,-0.2163985,-0.045794025,-0.25449625,0.5987173,0.14705145,0.15761796,-0.5911455,-0.4995638,0.0062486157,0.35137892,-0.4026152,-0.4357124,12098
