iid,cluster
5608,16
4911,16
9299,5
6917,5
5376,13
6510,3
6452,5
5766,3
4665,17
7571,17
8572,9
7746,6
8652,18
1226,16
1644,17
2270,12
1363,16
4759,12
6509,18
4637,12
7663,6
7728,16
1087,15
6627,6
6178,5
1120,6
1608,0
1356,16
5350,6
6214,13
7388,0
7365,12
1167,12
5159,6
1844,0
2341,12
8666,12
6659,12
6173,16
4916,13
7026,12
6338,16
4192,12
9495,5
5740,16
2016,10
9574,6
5573,0
3283,10
6293,6
6465,10
4626,0
3811,16
8407,12
7183,0
4850,16
9558,10
5734,12
7786,16
6096,3
2899,0
3136,3
7735,6
7166,16
6499,0
8665,0
6458,10
6188,3
9037,15
3282,10
1736,3
7760,17
7978,12
3893,16
8242,12
8376,0
3106,17
7780,5
8620,16
9804,5
5069,16
8598,12
9912,10
4366,16
4433,6
6755,6
9777,6
2872,17
3377,16
6199,16
7276,17
8450,5
2375,14
8528,10
8621,13
5836,14
7255,12
4760,14
9163,10
4347,10
9708,14
9617,4
9986,14
9785,4
8522,18
1551,0
2669,3
2078,3
8149,0
5423,6
2707,10
7775,5
5930,5
7120,0
7012,13
7705,16
8796,16
3700,6
1101,0
1425,18
6828,5
4554,6
2358,13
5781,16
9901,5
7081,6
1611,14
6517,16
9817,6
7213,16
2073,6
1801,16
4910,0
2676,10
6763,6
6673,3
1106,16
5941,3
3609,13
6263,4
5236,18
8515,15
6760,16
2863,17
6284,3
5437,10
7093,16
3135,10
2439,3
7386,12
8935,12
5509,16
9124,10
8518,6
5879,5
7898,0
6390,6
7639,12
9969,16
1554,0
5084,12
2584,6
5822,3
1889,0
9330,6
8606,6
2463,10
3160,13
4233,13
6346,3
7981,3
4210,3
5164,10
1501,13
3144,16
3978,12
1805,12
6866,10
1058,6
1457,13
4821,10
3314,12
1602,18
3318,5
4354,16
8685,12
4478,6
4179,16
5400,0
4235,16
7569,12
1549,14
1001,12
1128,12
9924,5
8237,7
1468,12
9749,4
8479,6
7564,17
5475,0
2174,13
3604,12
2327,6
7704,0
2897,12
4518,6
7071,5
7245,16
1858,10
3963,0
5492,10
6680,10
7552,5
7734,16
1272,6
2531,18
9150,10
8297,6
2356,5
6413,3
3264,13
6997,3
6726,17
1002,16
2055,6
7405,5
2049,16
5114,12
4150,16
9320,12
8356,16
3699,0
5414,16
9746,7
2033,6
3271,5
7615,5
9647,18
7477,17
8740,13
7827,6
1397,0
2277,6
6694,3
3947,6
3361,0
1910,12
9670,15
1255,12
9629,12
2944,12
4874,14
6136,16
3562,10
1678,13
7478,16
6523,5
2380,6
7862,12
2583,0
7785,6
2215,16
7528,17
3555,5
8327,12
9206,6
6422,6
9496,0
4636,3
4630,6
9701,13
3841,0
5127,16
6045,0
8761,3
3748,6
5246,16
5810,14
6162,0
7675,17
8531,16
5184,3
7971,16
7531,18
3560,12
8899,12
7445,16
4800,0
1328,5
2056,10
8170,18
6929,16
8552,3
8466,5
2801,10
2681,18
7770,12
9653,16
6963,16
6942,16
6427,14
3305,18
7455,13
8611,10
8788,14
7423,13
6944,0
5630,10
1274,17
5732,12
6192,5
6873,12
8856,0
1280,16
6934,12
7776,0
9905,12
8071,12
2172,5
2070,6
3158,6
6029,5
6394,16
4377,6
5204,12
3346,15
7576,16
1547,12
5582,12
4532,13
5640,16
7119,12
4374,12
9325,16
9218,13
6915,6
7294,17
3335,0
8739,13
7450,16
5058,3
6170,13
2093,16
2877,6
3025,3
3924,16
6239,12
1967,17
7062,6
8808,12
5629,3
4681,12
7032,12
6077,13
7376,16
9307,16
3481,18
5050,13
7483,6
5182,14
1682,14
3944,18
8323,16
5936,16
1377,12
8260,6
1817,12
4817,10
1800,0
4603,0
9561,14
5572,3
2528,14
4738,6
1661,13
1205,3
5834,17
7783,0
6996,13
6787,12
5305,18
9190,14
7323,16
4319,16
7324,0
5405,16
2105,6
2300,12
7064,0
3459,10
2275,0
1225,10
3781,6
2331,17
7747,16
4140,13
8249,12
3726,17
5875,18
1995,0
8801,12
9811,12
7079,12
5382,6
2948,6
5244,10
5844,13
1430,16
2379,10
7925,17
8077,10
9830,15
9552,16
1141,12
3968,10
3237,10
8477,16
7406,16
4290,0
3814,16
9927,16
2324,0
3365,16
2359,3
6335,18
6651,14
7712,12
1552,12
3080,16
5143,12
4385,3
5238,6
4198,10
6068,12
1124,10
4123,3
3790,6
9624,18
6658,6
4852,6
3940,5
4819,6
6236,16
7814,12
9221,0
5861,13
9337,12
2226,3
3995,5
2608,18
4902,6
1784,3
8239,5
3918,10
1445,0
6519,10
5219,16
8661,12
8215,16
4579,0
5540,6
1404,17
1568,6
8474,5
3898,12
9855,12
3684,16
1357,16
1398,16
4638,12
1342,14
3657,0
4028,6
9894,0
3712,14
9047,17
5538,12
3492,16
5049,3
8852,6
3403,6
7009,17
7722,3
1371,16
6970,10
6365,13
4219,12
3520,6
4353,0
2958,6
3881,16
6238,3
6595,3
9470,0
8140,12
2349,3
1362,12
6664,18
9243,3
4384,14
1814,6
1771,10
2084,6
8568,3
5450,12
3373,10
7382,0
3476,10
6066,14
3390,13
3121,0
6101,6
2133,17
4464,12
7344,0
1495,10
1872,13
3639,6
1421,12
6978,6
9222,4
2239,16
4326,12
3535,10
9996,13
1650,0
4512,6
4364,17
8976,13
1472,16
7256,6
4128,12
8419,16
7673,6
7249,12
8805,13
8240,5
8032,16
1256,12
7600,12
1865,6
6916,16
5088,10
9693,0
9120,13
9116,10
4298,12
8920,17
7482,3
6615,16
9241,14
4885,13
2013,6
5808,14
4700,0
4414,13
6759,17
3536,17
4184,18
8723,14
4751,6
9202,6
4550,16
1432,16
8046,16
8756,5
6010,6
8113,6
1122,6
2866,12
5014,6
6312,6
2628,18
1905,16
7534,6
6131,14
9812,3
9797,10
6076,0
3911,16
4839,6
7146,18
6998,13
9956,10
4482,12
4666,12
1306,6
5144,6
5778,10
6727,13
7518,0
9548,16
8172,0
3669,5
8384,14
4463,6
8947,16
6796,18
3049,13
9641,14
