0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,ITEM_ID
0.06723164,-0.108317345,0.020249438,-0.6879451,0.18610963,0.0715985,0.03692033,0.16248682,-0.51484114,-0.024313927,-0.25347543,-0.104508236,0.25055176,0.0035972297,-0.11469969,0.091614455,8491
-0.040906638,-0.0037141666,-0.026257697,-0.35273024,-0.04032226,0.23355472,0.31599972,0.43737352,-0.6392368,-0.27101552,-0.048332036,-0.1432133,0.46384358,-0.15033594,-0.22908545,-0.0150707215,3465
0.1271005,-0.08708306,0.33327064,-0.10928577,0.2822844,-0.087075025,0.18906072,0.4740885,-0.14225496,-0.63939166,-0.046837017,0.041571423,0.38608468,-0.20398211,0.04892221,-0.06995274,9336
-0.3470166,-0.05430691,-0.032072037,-0.33183464,-0.03001763,0.57935953,0.47360656,0.68922615,-0.92090106,-0.21224105,-0.073745295,-0.0017808229,0.31981835,-0.24165043,-0.13461803,-0.14643888,4153
-0.029424593,0.004589416,0.24896103,-0.20158812,0.04733725,-0.13695712,0.07886849,0.5706951,-0.19203916,-0.36276877,0.11833682,0.10928778,0.20945358,-0.04366053,-0.19989756,-0.061190695,7359
0.16234526,0.036001287,0.16253455,-0.32322925,-0.082971916,-0.26701725,0.11946511,0.39518556,-0.15890093,-0.44170862,0.011700295,-0.086476505,0.20823869,-0.2100261,-0.20027691,-0.12161052,4111
0.039913714,0.3098805,-0.06905044,-0.6021614,0.02314718,-0.05825177,0.1013078,-0.036258057,-0.43447936,-0.10992329,-0.13768212,-0.0007665232,0.049262837,0.033588838,-0.11436048,-0.16118693,4895
-0.0036801696,0.09209963,-0.051736057,-0.32453665,0.13240625,0.28927976,0.28062916,0.5003499,-0.40759075,-0.22109312,0.101062,-0.24234912,0.3811379,-0.25702503,-0.34892955,-0.1475391,5879
0.072398394,0.0826392,0.30565727,-0.34132624,-0.032325998,-0.0962946,0.12412061,0.49569297,-0.52760595,-0.49834588,-0.093167365,0.17295712,0.17865346,-0.2070821,-0.13245958,0.28166017,1162
0.10051986,0.19328797,0.2566153,-0.39075422,0.31179726,0.0002820026,0.09852705,0.44870952,-0.14899266,-0.3202711,-0.20669171,0.023485005,0.2417641,-0.26968616,0.06803824,0.16151586,6038
-0.2558172,-0.1450144,0.11800407,-0.5162811,0.19526663,0.075892486,-0.1180485,0.5499651,-0.90118706,0.12822221,-0.19700417,0.02426605,0.5565278,-0.08407265,-0.19511513,0.13179669,9896
0.05898135,0.026842631,0.124638,-0.32151175,0.023918197,0.27890703,0.16930346,0.6692028,-0.34346664,-0.42205986,-0.04670182,-0.2658044,0.38332313,-0.23775186,-0.26797202,0.17619076,6754
0.18364674,0.07473292,-0.17284442,-0.16687828,0.05108381,0.11228273,0.16947271,0.47656983,-0.048590347,-0.34258097,0.039595924,-0.3994506,0.30011863,-0.40253225,-0.15326665,0.0576151,7188
0.05690662,0.25244856,0.09964621,-0.62687355,0.11642739,0.22708571,-0.0016719587,0.5762731,-0.5056093,-0.15731847,-0.22169128,-0.23472837,0.1928499,-0.19880277,-0.060582027,-0.095648035,8834
0.13063203,0.22148961,-0.040077515,-0.7037779,0.3843841,-0.11582787,-0.013221311,0.020979464,-0.7474815,0.056095272,-0.20455272,0.06109576,0.26941893,-0.18313435,-0.16393685,0.08764196,5966
0.16158244,0.43153656,0.06731819,-0.5109216,-0.038043663,-0.02611492,0.18622977,0.10393975,-0.24262741,-0.23186624,-0.12488036,-0.12318125,0.07055243,-0.0613932,-0.1629844,-0.19618365,8197
-0.07756297,0.19376986,-0.05376589,-0.20433477,0.08855591,0.18188336,0.39057535,0.4803936,-0.30711553,-0.3329972,0.21768026,-0.16742876,0.465816,-0.27623987,-0.2723312,-0.11524074,4903
0.17955042,0.068382844,0.31299734,-0.4459622,-0.040174626,0.11743863,0.10484982,0.47299346,-0.31671742,-0.5339273,-0.044362795,-0.33551234,0.26211816,-0.33936518,-0.011799157,-0.3019911,4360
-0.3118534,0.049540274,0.13633613,0.07874109,0.07932268,0.47084877,0.3963744,0.8469501,-0.5284956,-0.46069568,0.30665633,0.12904635,0.41224673,-0.44623297,-0.053783387,-0.2181308,5308
-0.034611985,-0.10924785,0.28039277,-0.2781646,-0.13362956,-0.19592908,0.3172913,0.28770283,-0.25588578,-0.49856424,0.09925561,-0.026957706,0.6042863,-0.26887098,-0.47326452,-0.13547109,2606
0.014953226,-0.024063878,0.07439776,-0.6505232,0.22693661,-0.080067545,-0.07737225,0.29364568,-0.38680217,-0.07682978,-0.29205057,-0.08007182,0.36162245,-0.11959997,-0.120024905,0.18464434,1395
-0.11507116,0.48543432,-0.22433041,-0.32445145,0.16802001,0.026825104,0.23617552,0.12879741,-0.50268626,-0.065507494,-0.17435436,0.4427625,-0.11943403,0.08469766,0.21230826,-0.2999906,9751
