uid,cluster
12349,6
12350,5
12351,9
12354,6
12357,7
12359,7
12360,6
12361,4
12362,4
12370,9
12372,6
12373,6
12375,7
12376,7
12378,5
12381,2
12383,4
12386,6
12388,7
12391,3
12394,8
12398,6
12399,4
12401,9
12403,6
12404,0
12408,7
12409,4
12417,5
12423,6
12428,3
12432,7
12436,5
12437,9
12440,6
12441,0
12442,2
12444,4
12447,4
12449,6
12450,8
12463,4
12474,0
12476,5
12480,6
12481,0
12483,4
12490,6
12493,4
12494,7
12495,3
12499,3
12502,7
12503,4
12504,7
12507,4
12508,6
12510,9
12511,7
12513,7
12514,4
12515,6
12517,5
12518,9
12522,7
12527,4
12528,0
12530,4
12531,7
12532,7
12535,0
12538,5
12540,5
12541,3
12542,4
12544,3
12546,6
12549,4
12550,6
12554,9
12556,4
12558,3
12562,0
12563,4
12564,9
12570,9
12574,4
12576,4
12578,9
12579,7
12582,6
12585,4
12586,6
12592,4
12593,3
12605,9
12608,7
12611,8
12615,4
12616,5
12617,5
12618,7
12621,7
12622,9
12623,3
12625,0
12626,5
12629,6
12630,6
12633,4
12635,0
12636,7
12638,6
12641,6
12644,2
12645,8
12647,9
12648,4
12651,2
12652,0
12657,6
12660,4
12662,4
12664,9
12667,4
12677,0
12679,2
12680,2
12683,7
12685,2
12686,0
12687,0
12688,4
12691,9
12694,7
12699,9
12706,0
12707,3
12710,9
12712,0
12715,6
12718,4
12721,7
12722,9
12725,0
12726,6
12727,6
12729,6
12730,2
12731,0
12732,9
12734,5
12735,4
12737,0
12740,7
12741,7
12742,7
12743,0
12744,5
12746,6
12750,0
12753,7
12757,7
12758,9
12761,8
12762,4
12767,4
12769,9
12771,5
12772,6
12776,5
12777,5
12778,9
12780,7
12782,3
12783,4
12784,5
12785,5
12787,6
12788,9
12789,9
12791,3
12793,4
12796,9
12797,4
12803,7
12805,7
12807,0
12813,3
12815,3
12819,9
12820,7
12823,6
12824,6
12826,9
12827,7
12828,4
12830,7
12831,9
12833,6
12836,9
12840,4
12844,3
12849,3
12851,7
12854,9
12856,9
12863,3
12864,5
12865,9
12867,0
12868,3
12872,3
12873,9
12875,4
12880,7
12885,6
12888,7
12891,0
12893,7
12898,9
12899,9
12901,4
12903,3
12905,2
12907,3
12909,3
12913,5
12914,7
12915,4
12916,2
12924,4
12927,0
12933,4
12935,6
12937,9
12941,5
12945,6
12946,0
12947,6
12949,4
12951,4
12952,0
12954,5
12955,3
12957,0
12959,7
12960,4
12964,9
12965,4
12968,6
12969,7
12971,0
12974,6
12975,4
12979,4
12980,9
12981,4
12982,6
12984,9
12990,7
12992,9
12995,4
12996,4
12997,9
12999,9
13000,7
13001,6
13002,4
13003,2
13007,4
13008,2
13010,0
13011,9
13013,5
13015,3
13016,7
13021,6
13022,2
13023,4
13024,7
13025,0
13026,5
13027,9
13028,9
13029,7
13030,0
13031,7
13035,6
13036,4
13037,6
13040,9
13041,7
13047,7
13050,4
13053,5
13054,9
13056,7
13057,2
13059,3
13064,7
13066,9
13070,6
13071,6
13073,3
13075,4
13076,0
13077,3
13080,2
13083,3
13085,7
13087,6
13091,5
13094,9
13095,7
13096,5
13099,4
13102,4
13104,0
13108,9
13112,7
13115,0
13116,5
13117,7
13118,3
13120,5
13124,0
13125,4
13126,0
13128,6
13129,6
13130,6
13131,5
13132,8
13136,4
13137,7
13142,0
13147,7
13149,9
13150,0
13151,9
13152,7
13153,4
13154,6
13156,9
13158,0
13161,4
13166,0
13167,5
13168,9
13169,9
13170,5
13171,4
13173,7
13175,4
13179,0
13180,9
13181,0
13182,2
13183,3
13184,2
13186,0
13187,9
13189,4
13195,2
13200,9
13202,2
13208,7
13209,3
13211,9
13214,7
13215,0
13218,7
13219,9
13220,7
13221,7
13222,6
13224,5
13227,6
13229,5
13231,6
13233,7
13235,4
13237,5
13241,7
13242,9
13248,6
13251,4
13252,6
13253,3
13254,5
13256,9
13259,0
13263,2
13265,3
13269,6
13270,2
13272,4
13276,9
13278,7
13279,6
13282,4
13283,4
13284,4
13288,6
13289,9
13292,5
13295,6
13298,7
13299,0
13300,6
13301,0
13304,3
13306,4
13308,9
13309,0
13310,3
13313,0
13319,4
13322,7
13325,4
13334,0
13335,6
13336,4
13337,5
13342,0
13344,3
13348,2
13350,3
13351,5
13354,4
13355,4
13360,2
13363,7
13367,0
13375,3
13377,9
13378,2
13381,6
13382,9
13388,4
13393,7
13394,2
13395,5
13396,7
13398,0
13401,2
13402,5
13403,3
13406,2
13414,5
13416,4
13418,7
13419,5
13422,4
13425,0
13426,4
13427,6
13428,9
13431,2
13432,4
13433,2
13434,4
13437,9
13441,3
13445,5
13446,5
13451,9
13452,4
13457,7
13461,0
13467,9
13473,7
13482,0
13489,6
13493,9
13495,2
13496,3
13499,2
13502,7
13504,5
13506,3
13507,5
13508,3
13509,6
13510,7
13511,7
13519,5
13521,3
13522,2
13524,4
13536,5
13537,7
13538,7
13540,7
13541,4
13545,9
13548,4
13550,4
13551,5
13555,3
13559,7
13563,9
13564,5
13565,5
13568,6
13570,5
13575,6
13580,7
13584,9
13585,2
13586,0
13587,3
13593,4
13594,9
13601,5
13603,5
13607,0
13609,6
13611,5
13613,5
13614,9
13615,2
13616,0
13617,3
13618,9
13619,5
13620,7
13624,3
13627,0
13628,9
13629,6
13635,9
13636,0
13638,7
13644,0
13645,4
13647,0
13648,4
13653,7
13656,2
13660,4
13661,0
13670,3
13673,9
13675,0
13676,4
13680,9
13689,0
13693,7
13694,4
13695,0
13697,3
13698,4
13700,7
13701,0
13702,3
13707,4
13711,3
13713,9
13714,7
13715,5
13716,7
13719,7
13721,4
13723,2
13724,4
13725,4
13727,7
13731,7
13732,6
13735,9
13737,7
13738,5
13742,5
13753,6
13757,0
13758,7
13761,4
13767,6
13776,0
13777,4
13778,6
13780,6
13785,4
13786,7
13787,7
13788,0
13789,6
13791,4
13793,6
13795,4
13798,6
13799,9
13802,6
13803,3
13804,5
13805,6
13806,5
13807,5
13813,7
13815,6
13817,4
13821,0
13822,4
13826,4
13827,9
13829,7
13831,5
13833,6
13834,9
13835,0
13836,6
13840,6
13842,9
13844,5
13847,3
13850,4
13854,0
13855,2
13859,7
13861,7
13862,5
13863,9
13865,7
13867,5
13871,7
13872,9
13873,5
13874,5
13882,0
13885,5
13886,7
13887,9
13896,8
13898,7
13899,0
13906,5
13908,6
13912,2
13913,6
13914,4
13918,7
13919,6
13927,3
13928,5
13929,7
13930,5
13933,6
13935,7
13940,5
13942,3
13944,7
13946,7
13947,2
13948,3
13951,0
13953,3
13955,9
13958,5
13962,3
13967,6
13971,9
13976,4
13977,9
13978,5
13982,7
13989,7
13994,9
13997,0
13999,5
14004,3
14005,2
14009,9
14012,9
14013,9
14016,9
14021,4
14022,3
14024,9
14026,5
14028,6
14032,0
14034,6
14036,4
14039,6
14041,3
14044,9
14046,4
14048,0
14050,5
14051,0
14053,9
14057,7
14058,4
14059,4
14060,0
14063,5
14065,3
14066,5
14068,6
14070,3
14072,7
14074,0
14077,5
14079,0
14080,9
14081,0
14082,7
14086,0
14087,9
14088,4
14091,7
14092,4
14093,9
14095,4
14097,0
14098,4
14103,5
14104,6
14105,6
14107,9
14108,4
14109,7
14116,5
14118,2
14124,7
14128,3
14129,4
14130,6
14139,2
14143,0
14144,3
14145,7
14148,4
14151,6
14154,7
14155,0
14157,3
14160,9
14162,9
14164,7
14166,5
14168,9
14172,4
14175,4
14179,0
14181,9
14182,9
14183,9
14187,4
14190,4
14193,7
14195,0
14196,9
14197,7
14198,3
14199,9
14203,0
14204,4
14205,5
14207,7
14208,9
14211,0
14212,7
14215,2
14219,5
14221,4
14228,0
14229,4
14230,9
14232,7
14242,7
14243,6
14244,9
14245,9
14246,4
14248,7
14249,4
14250,0
14251,7
14252,7
14253,3
14256,0
14264,0
14265,5
14267,5
14269,0
14272,9
14276,3
14278,5
14279,2
14280,9
14281,5
14282,7
14285,7
14287,3
14289,9
14293,4
14295,4
14296,4
14299,0
14301,9
14303,3
14304,6
14305,6
14309,5
14313,0
14315,0
14316,6
14319,9
14323,3
14325,9
14327,6
14328,6
14330,3
14336,7
14337,5
14338,7
14341,7
14345,6
14346,2
14347,3
14348,5
14354,0
14356,0
14361,4
14363,6
14364,6
14366,7
14367,4
14371,4
14373,9
14374,4
14380,3
14382,4
14384,4
14385,7
14387,9
14389,0
14390,9
14391,4
14392,4
14393,4
14394,2
14397,4
14399,4
14402,6
14404,3
14408,4
14411,0
14413,7
14416,3
14417,3
14419,6
14420,7
14421,0
14422,9
14431,3
14440,5
14442,0
14444,9
14446,0
14448,2
14449,4
14452,4
14456,4
14457,7
14461,6
14463,0
14464,6
14465,3
14468,6
14469,6
14472,3
14475,7
14479,7
14488,6
14492,5
14496,7
14497,9
14500,5
14503,9
14505,7
14506,3
14510,5
14513,7
14515,7
14517,2
14519,6
14524,3
14525,5
14528,9
14530,4
14536,6
14542,9
14543,3
14549,6
14553,9
14557,4
14559,7
14560,5
14563,4
14565,7
14568,9
14569,0
14571,3
14573,5
14577,9
14579,3
14580,7
14584,0
14586,7
14587,4
14588,4
14591,4
14593,4
14594,4
14598,4
14599,5
14604,4
14605,2
14609,6
14613,6
14614,6
14615,3
14618,6
14623,3
14624,6
14625,0
14631,5
14634,7
14635,0
14637,7
14639,7
14643,0
14644,9
14645,7
14647,6
14651,3
14653,2
14654,6
14656,3
14657,6
14658,5
14660,6
14663,0
14664,9
14665,7
14669,0
14670,0
14672,3
14673,7
14678,0
14679,3
14680,9
14684,7
14685,7
14689,7
14690,9
14691,9
14692,6
14699,2
14704,3
14712,9
14719,3
14724,4
14727,7
14729,4
14731,4
14733,9
14735,3
14736,9
14740,6
14742,4
14745,7
14749,9
14751,6
14754,6
14755,7
14756,7
14762,6
14766,7
14769,7
14771,3
14772,4
14775,7
14779,4
14780,5
14783,3
14784,9
14785,9
14786,2
14788,0
14790,5
14795,7
14796,9
14800,7
14801,7
14805,9
14810,5
14811,6
14812,0
14813,3
14815,3
14816,2
14818,0
14822,6
14828,4
14829,6
14831,7
14836,4
14845,3
14846,9
14850,5
14855,4
14859,0
14863,3
14864,3
14869,2
14871,2
14872,4
14874,5
14875,5
14877,6
14878,2
14879,5
14880,7
14881,5
14882,9
14883,9
14884,6
14885,3
14890,7
14891,7
14893,7
14894,5
14896,4
14898,4
14900,4
14903,4
14905,5
14908,5
14911,6
14912,7
14913,5
14914,7
14916,7
14917,6
14918,3
14927,9
14931,4
14933,4
14935,5
14938,6
14939,7
14940,0
14941,7
14945,6
14948,3
14954,5
14964,5
14972,7
14975,3
14976,7
14977,4
14981,0
14984,2
14989,6
14990,5
14997,6
14998,0
15001,2
15002,2
15003,7
15005,7
15007,9
15011,5
15012,4
15013,3
15014,6
15020,7
15026,0
15031,4
15034,3
15035,0
15036,6
15038,7
15040,9
15045,6
15046,9
15047,3
15048,0
15049,6
15052,4
15053,3
15055,3
15056,4
15058,7
15061,7
15064,0
15065,7
15068,4
15069,0
15070,4
15071,6
15073,2
15076,6
15080,3
15083,4
15086,2
15088,9
15089,6
15090,3
15093,9
15095,4
15096,2
15102,4
15104,2
15106,7
15111,7
15112,5
15113,9
15114,5
15115,0
15118,7
15119,9
15120,6
15123,2
15124,5
15125,7
15130,6
15134,4
15137,0
15140,5
15142,4
15146,0
15148,3
15152,6
15154,7
15157,7
15158,3
15159,3
15161,9
15162,4
15163,9
15169,2
15170,0
15172,3
15173,9
15178,6
15182,6
15185,3
15186,6
15187,7
15194,9
15195,7
15199,0
15201,7
15204,6
15205,5
15210,4
15211,5
15214,0
15215,7
15216,4
15218,9
15219,4
15222,2
15223,4
15225,6
15227,0
15228,9
15229,3
15231,2
15234,6
15244,4
15245,4
15246,0
15248,8
15252,7
15253,7
15254,7
15256,3
15262,4
15264,3
15265,4
15266,3
15268,6
15270,7
15276,9
15281,7
15284,0
15288,4
15292,2
15297,6
15299,5
15300,4
15303,6
15308,5
15314,5
15317,5
15319,3
15320,3
15323,7
15324,7
15325,0
15326,3
15329,4
15330,2
15333,9
15338,7
15342,4
15343,7
15345,3
15346,0
15348,5
15353,9
15354,7
15358,4
15359,3
15360,6
15365,9
15366,3
15367,3
15369,9
15370,5
15371,6
15372,9
15374,5
15376,2
15377,9
15381,6
15382,3
15386,4
15389,6
15394,7
15395,3
15396,0
15398,5
15401,6
15405,6
15406,2
15411,6
15414,0
15418,4
15421,5
15426,0
15428,3
15431,2
15436,9
15438,7
15442,2
15444,4
15447,9
15448,9
15449,6
15453,3
15464,4
15466,5
15467,3
15473,9
15476,7
15479,3
15480,0
15483,2
15485,5
15488,6
15491,5
15496,0
15497,9
15501,4
15502,5
15503,7
15510,6
15512,6
15513,9
15517,2
15519,5
15522,3
15525,6
15526,3
15528,4
15532,7
15533,6
15536,4
15537,3
15540,4
15541,5
15545,7
15546,6
15547,0
15548,9
15549,4
15551,9
15552,3
15553,0
15554,3
15555,5
15558,0
15562,3
15563,4
15564,3
15567,6
15568,9
15572,4
15576,6
15578,0
15579,7
15581,0
15582,2
15590,7
15592,6
15598,7
15601,2
15603,7
15604,3
15610,3
15612,4
15614,7
15619,5
15621,8
15625,5
15633,6
15638,0
15641,4
15645,2
15651,6
15657,9
15658,4
15660,7
15662,5
15667,9
15669,7
15671,4
15672,4
15676,3
15677,5
15683,7
15688,4
15689,9
15692,7
15693,7
15706,7
15707,9
15710,4
15711,5
15712,4
15714,4
15715,0
15716,9
15718,7
15719,7
15732,5
15735,6
15739,2
15740,5
15743,0
15746,3
15747,7
15748,7
15751,9
15757,3
15761,9
15762,3
15763,4
15764,4
15766,3
15767,4
15770,4
15771,7
15772,0
15775,5
15777,3
15779,7
15780,3
15781,5
15783,6
15784,6
15785,2
15787,6
15788,7
15790,7
15791,3
15792,9
15795,2
15799,7
15803,4
15808,7
15809,4
15815,5
15819,6
15820,3
15821,6
15827,0
15828,9
15832,0
15835,5
15836,9
15841,7
15843,9
15847,7
15854,3
15855,0
15858,3
