item_no	itemPrice
1739	1.2594
1740	2.9634
1741	1.1545
1742	1.1668
1743	2.7857
1744	2.138
1745	5.8349
1746	3.6884
1747	1.2208
1748	3.3526
1749	1.7368
1750	1.4542
1751	2.9002
1752	8.1269
1753	7.1843
1754	4.1798
1755	3.2965
1756	4.3779
1757	3.8724
1758	1.5955
1759	2.1943
1760	4.063
1761	2.6477
1762	2.9987
1763	4.0686
1764	2.5552
1765	1.9825
1766	4.2178
1767	3.9237
1768	1.5714
1769	2.8074
1770	2.6988
1771	3.6809
1772	3.5583
1773	4.0381
1774	3.7015
1775	3.7321
1776	13.3438
1777	2.6296
1778	2.4027
1779	5.0532
1780	1.3293
1781	2.1767
1782	2.6591
1783	11.3118
1784	4.7783
1785	3.1617
1786	3.4642
1787	4.0596
1788	2.0294
1789	3.4682
1790	1.1405
1791	9.3358
1792	3.9966
1793	1.0845
1794	2.8291
1795	4.2841
1796	6.0606
1797	2.8481
1798	2.0283
1799	2.9069
1800	0.7887
1801	1.9614
1802	1.3826
1803	5.5729
1804	4.3074
1805	5.146
1806	0.5408
1807	4.5482
1808	1.7431
1809	1.7694
1810	1.0262
1811	3.9887
1812	3.0546
1813	2.669
1814	2.7556
1815	2.8376
1816	-0.0101
1817	6.8761
1818	6.5442
1819	0.9766
1820	0.9793
1821	2.8525
1822	1.5436
1823	1.6365
1824	5.0563
1825	2.9958
1826	4.1306
1827	3.4317
1828	4.6503
1829	2.1443
1830	3.74
1831	8.8259
1832	6.6186
1833	5.005
1834	2.9556
1835	1.7268
1836	5.8999
1837	2.6946
1838	2.4221
1839	4.4591
1840	1.8688
1841	2.8101
1842	4.8882
1843	6.136
1844	1.4237
1845	5.1771
1846	2.368
1847	6.5244
1848	3.1773
1849	1.7078
1850	2.6918
1851	3.8267
1852	3.7855
1853	1.4861
1854	7.7717
1855	1.781
1856	3.0424
1857	1.7685
1858	2.8595
1859	2.9649
1860	0.9952
1861	3.2812
1862	6.5768
1863	4.1125
1864	4.12
1865	3.0932
1866	2.0421
1867	6.7661
1868	4.9096
1869	8.1024
1870	4.8166
1871	2.7669
1872	1.5036
1873	0.8957
1874	2.7092
1875	2.466
1876	1.7808
1877	1.7994
1878	4.0239
1879	3.4272
1880	1.1029
1881	1.5797
1882	1.2302
1883	1.6715
1884	1.5805
1885	2.9917
1886	3.5234
1887	2.6531
1888	4.3086
