item_no	itemPrice
1385	0.0792
1386	1.4919
1387	0.9678
1388	1.6002
1389	1.6254
1390	2.7994
1391	4.8979
1392	2.023
1393	1.8004
1394	2.3728
1395	3.0555
1396	3.1825
1397	3.3575
1398	3.4748
1399	2.5663
1400	2.9827
1401	1.9437
1402	2.4402
1403	4.1923
1404	0.7157
1405	3.0823
1406	0.9837
1407	3.2891
1408	1.3827
1409	3.7222
1410	1.5714
1411	1.7447
1412	5.8293
1413	1.6065
1414	0.8357
1415	3.827
1416	1.7928
1417	6.5624
1418	3.2818
1419	6.7307
1420	2.8965
1421	4.719
1422	2.906
1423	1.8125
1424	1.591
1425	2.9685
1426	2.5221
1427	2.7731
1428	1.1758
1429	292.1642
1430	2.7377
1431	1.4378
1432	3.0472
1433	1.5504
1434	2.4927
1435	3.1646
1436	5.1535
1437	1.0141
1438	5.1459
1439	2.0533
1440	1.0236
1441	2.994
1442	4.1814
1443	0.9194
1444	3.0526
1445	1.5068
1446	6.6497
1447	2.4258
1448	10.9227
1449	2.7433
1450	3.8911
1451	3.525
1452	2.9386
1453	2.555
1454	2.825
1455	4.5071
1456	5.7498
1457	2.1759
1458	5.6502
1459	2.5549
1460	2.9739
1461	2.3438
1462	2.7654
1463	3.4806
1464	1.4207
1465	5.0679
1466	4.5343
1467	3.1653
1468	1.4283
1469	2.1065
1470	4.1239
1471	0.7615
1472	2.5219
1473	5.0249
1474	3.5
1475	0.8869
1476	5.8937
1477	0.4891
1478	1.6668
1479	1.2621
1480	0.9173
1481	0.8855
1482	0.9164
1483	0.8814
1484	4.1643
1485	1.7108
1486	2.1549
1487	1.6159
1488	1.2035
1489	0.858
1490	1.4274
1491	3.945
1492	2.4885
1493	1.0578
1494	3.1753
1495	2.6824
1496	2.3469
1497	3.9438
1498	18.9449
1499	8.7831
1500	8.6521
1501	1.7848
1502	2.6191
1503	2.0008
1504	1.5819
1505	1.5926
1506	2.9491
1507	4.0354
1508	2.0938
1509	4.339
1510	3.0115
1511	2.4869
1512	2.8449
1513	2.7805
1514	1.4172
1515	2.022
1516	1.3838
1517	5.9165
1518	6.8757
1519	2.6267
1520	3.6071
1521	9.432
1522	3.8959
1523	1.4183
1524	5.6071
1525	3.5549
1526	3.3333
1527	2.4846
1528	3.1596
1529	5.3969
1530	1.8217
1531	1.8675
1532	3.6725
1533	1.8149
1534	2.7903
1535	0.8053
1536	3.658
1537	2.2462
1538	3.0194
1539	2.4817
1540	2.6083
1541	0.9833
1542	1.9323
1543	1.9632
1544	6.9316
1545	0.9886
1546	1.2653
1547	3.0751
1548	1.0951
1549	5.2524
1550	1.9967
1551	1.0104
1552	4.5924
1553	4.5376
1554	0.9553
1555	2.6316
1556	2.475
1557	1.3529
1558	5.6481
1559	8.2617
1560	1.175
1561	4.3544
1562	0.9736
1563	4.1986
1564	2.0959
1565	2.7193
1566	1.9558
1567	2.6899
1568	3.0577
1569	4.1259
1570	2.0537
1571	2.8373
1572	4.174
1573	3.6226
1574	1.1201
1575	3.0946
1576	4.0549
1577	2.6935
1578	2.7611
1579	0.4596
1580	2.6636
1581	2.9267
1582	4.4788
1583	2.4988
1584	2.8676
1585	3.7365
1586	4.6461
1587	1.2024
1588	4.2543
1589	1.835
1590	9.0858
1591	3.1406
1592	1.4391
1593	2.1534
1594	4.0568
1595	2.6955
1596	1.7009
1597	1.7522
1598	2.8169
1599	1.1182
1600	3.893
1601	7.6359
1602	4.7269
1603	2.1058
1604	1.4362
1605	1.8735
1606	1.8717
1607	1.8627
1608	0.8506
1609	1.2297
1610	2.2542
1611	1.2818
1612	6.4557
1613	3.7433
1614	4.6665
1615	8.6361
1616	1.4817
1617	3.0007
1618	1.1609
1619	3.8464
1620	1.6398
1621	1.725
1622	5.011
1623	2.3093
1624	3.4138
1625	2.2093
1626	4.9808
1627	3.6632
1628	1.6227
1629	2.9171
1630	4.1506
1631	1.875
1632	3.5365
1633	2.1918
1634	3.2109
1635	0.8191
1636	2.168
1637	6.0544
1638	4.3598
1639	2.6474
1640	2.8597
1641	1.388
1642	0.7116
1643	5.1223
1644	2.5777
